0,Asus TUF GAMING X570-PLUS (WI-FI),AM4,Asus,DDR4-2133
1,MSI MAG B550 TOMAHAWK,AM4,MSI,DDR4-1866
2,MSI B550-A PRO,AM4,MSI,DDR4-1866
3,Asus ROG STRIX B550-A GAMING,AM4,Asus,DDR4-2133
4,MSI B550M PRO-VDH WIFI,AM4,MSI,DDR4-1866
5,Gigabyte B660M DS3H DDR4,LGA1700,Gigabyte,DDR4-2133
6,MSI B450 TOMAHAWK MAX,AM4,MSI,DDR4-1866
7,Asus ROG STRIX Z690-A GAMING WIFI D4,LGA1700,Asus,DDR4-2133
8,MSI MAG Z690 TOMAHAWK WIFI DDR4,LGA1700,MSI,DDR4-2133
9,Asus ROG STRIX B450-F GAMING II,AM4,Asus,DDR4-2133
10,Gigabyte B450M DS3H,AM4,Gigabyte,DDR4-2133
11,MSI MAG B660M MORTAR WIFI DDR4,LGA1700,MSI,DDR4-2133
12,MSI MAG B660 TOMAHAWK WIFI DDR4,LGA1700,MSI,DDR4-2133
13,Asus ROG STRIX B550-F GAMING,AM4,Asus,DDR4-2133
14,Gigabyte B550M DS3H,AM4,Gigabyte,DDR4-2133
15,Asus ROG STRIX Z690-E GAMING WIFI,LGA1700,Asus,DDR5-4800
16,MSI MPG B550 GAMING PLUS,AM4,MSI,DDR4-1866
17,MSI MPG Z490 GAMING EDGE WIFI,LGA1200,MSI,DDR4-2133
18,MSI MAG X570S TOMAHAWK MAX WIFI,AM4,MSI,DDR4-1866
19,Asus ROG STRIX B550-F GAMING (WI-FI),AM4,Asus,DDR4-2133
20,MSI MPG B550 GAMING EDGE WIFI,AM4,MSI,DDR4-1866
21,Asus PRIME Z690-P WIFI D4,LGA1700,Asus,DDR4-2133
22,MSI PRO B660M-A WIFI DDR4,LGA1700,MSI,DDR4-2133
23,Asus PRIME B660-PLUS D4,LGA1700,Asus,DDR4-2133
24,Asus ROG Crosshair VIII Dark Hero,AM4,Asus,DDR4-2133
25,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),AM4,Gigabyte,DDR4-2133
26,Asus ROG STRIX B660-I GAMING WIFI,LGA1700,Asus,DDR5-4800
27,Gigabyte X570 AORUS ELITE WIFI,AM4,Gigabyte,DDR4-2133
28,Gigabyte X570 AORUS ELITE,AM4,Gigabyte,DDR4-2133
29,Asus ROG ZENITH II EXTREME ALPHA,sTRX4,Asus,DDR4-2133
30,Asus ROG STRIX X570-E GAMING WIFI II,AM4,Asus,DDR4-2133
31,Gigabyte B660 GAMING X AX DDR4,LGA1700,Gigabyte,DDR4-2133
32,MSI PRO B660-A DDR4,LGA1700,MSI,DDR4-2133
33,MSI B450-A PRO MAX,AM4,MSI,DDR4-1866
34,Asus TUF GAMING B550-PLUS WIFI II,AM4,Asus,DDR4-2133
35,Asus ROG MAXIMUS Z690 HERO,LGA1700,Asus,DDR5-4800
36,Gigabyte B550 GAMING X V2,AM4,Gigabyte,DDR4-2133
37,Gigabyte B550I AORUS PRO AX,AM4,Gigabyte,DDR4-2133
38,MSI PRO Z690-A WIFI DDR4,LGA1700,MSI,DDR4-2133
39,MSI PRO Z690-A DDR4,LGA1700,MSI,DDR4-2133
40,Gigabyte B550M AORUS PRO-P,AM4,Gigabyte,DDR4-2133
41,MSI MPG Z690 EDGE WIFI DDR4,LGA1700,MSI,DDR4-2133
42,Asus ROG STRIX B660-A GAMING WIFI D4,LGA1700,Asus,DDR4-2133
43,MSI PRO Z690-A,LGA1700,MSI,DDR5-4000
44,Gigabyte B450M DS3H WIFI,AM4,Gigabyte,DDR4-2133
45,Gigabyte B660M DS3H AX DDR4,LGA1700,Gigabyte,DDR4-2133
46,Asus ROG STRIX B550-I GAMING,AM4,Asus,DDR4-2133
47,Asus ROG STRIX Z590-E GAMING WIFI,LGA1200,Asus,DDR4-2133
48,ASRock A320M-HDV R4.0,AM4,ASRock,DDR4-2133
49,Asus PRIME B550M-A (WI-FI),AM4,Asus,DDR4-2133
